"Ticker";"Sector";"Sector_ETF";"Price";"ATR_pct";"Long_Score";"Long_Signal";"Long_Entry";"Long_Stop";"Long_Target";"Short_Score";"Short_Signal";"Short_Entry";"Short_Stop";"Short_Target";"BOT_Score";"BOT_Setup";"BOT_Breakout";"BOT_Squeeze";"BOT_VolDec";"BOT_VolSurge";"BOT_Flags";"ADX10";"RSI14";"RSI_slope";"MA50_dist";"OBV_rising";"UpDn_ratio";"RS_vs_ETF";"Macro_Note";"Sector_Long_Gate";"Sector_Short_Gate";"Best_Signal";"Trend_Passes";"Pullback";"RS_3m";"Trend_Reason";"NextEarnings";"EarningsInDays";"IV15";"IV30";"IV90";"IV180";"RV30";"IVP";"IVR";"IVP_2y";"RVP";"VRP";"Optionality";"TermStr";"Vol_Date";"Composite";"Gate_Tech";"Gate_Opt";"All_Gates";"Rank"
"MOS";"Agricultural";"MOO";24;4,38;3;"SKIP";24,05;26,29;18,44;8;"SKIP";23,95;26,82;16,78;2;2;0;0,398;0,867;0,94;"S:2/6 BK:0/4 | S1:- S2:- S3:- S4:- S5:+ S6:+ | BK1:- BK2:- BK3:- BK4:-";10,3;41,2;-2,2;-9,6;FALSE;0,33;-3,3;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260511";14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;8;FALSE;FALSE;FALSE;""
"SMG";"Agricultural";"MOO";67,2;4,03;8;"SKIP";67,33;64,44;74,57;3;"SKIP";67,07;65,74;70,38;6;3;3;0,779;1,045;1,08;"S:3/6 BK:3/4 | S1:+ S2:- S3:+ S4:+ S5:- S6:- | BK1:+ BK2:+ BK3:+ BK4:-";17,5;58,5;1,7;3,2;TRUE;2,43;8,8;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260429";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;8;FALSE;FALSE;FALSE;""
"AGCO";"Agricultural";"MOO";116,13;3,42;5;"SKIP";116,36;121,85;102,64;7;"SKIP";115,9;124,31;94,86;4;3;1;0,41;0,936;1,09;"S:3/6 BK:1/4 | S1:- S2:- S3:+ S4:- S5:+ S6:+ | BK1:- BK2:+ BK3:- BK4:-";14,2;45,1;-4,6;-5,6;FALSE;1,18;0,9;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260505";8;NA;40,6;NA;36,9;37,9;90,7;NA;NA;61,8;6,83;"FAIL";"Backwardation";"20260421 07:36";7;FALSE;FALSE;FALSE;""
"BIOX";"Agricultural";"MOO";0,54;12,41;7;"SKIP";0,54;0,52;0,59;5;"SKIP";0,54;0,53;0,56;4;4;0;0,878;0,478;0,89;"S:4/6 BK:0/4 | S1:+ S2:+ S3:+ S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";39,8;48,1;-8;2,7;FALSE;0,6;28,9;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260521";24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;7;FALSE;FALSE;FALSE;""
"CF";"Agricultural";"MOO";120,93;5,59;7;"SKIP";121,17;115,58;135,16;4;"SKIP";120,69;117,91;127,63;5;4;1;0,716;0,835;0,66;"S:4/6 BK:1/4 | S1:+ S2:+ S3:- S4:+ S5:- S6:+ | BK1:- BK2:+ BK3:- BK4:-";14,4;49,5;7,9;3,6;TRUE;1,66;-8;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260506";9;NA;53,8;NA;48,9;87,7;90,2;NA;NA;99,2;-48,82;"FAIL";"Backwardation";"20260421 09:09";7;FALSE;FALSE;FALSE;""
"FMC";"Agricultural";"MOO";14,88;5,81;5;"SKIP";14,91;15,18;14,24;7;"SKIP";14,85;15,49;13,26;3;3;0;0,81;0,803;1,06;"S:3/6 BK:0/4 | S1:- S2:+ S3:- S4:+ S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";41,7;40,7;-16,1;-2,9;TRUE;0,68;-4,2;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260429";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;7;FALSE;FALSE;FALSE;""
"ADM";"Agricultural";"MOO";69,23;2,88;4;"SKIP";69,37;68,97;70,37;6;"SKIP";69,09;70,36;65,92;2;2;0;0,891;0,871;0,6;"S:2/6 BK:0/4 | S1:- S2:+ S3:- S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";20;48,2;8,1;-0,6;FALSE;0,98;-3,5;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260505";8;NA;33,6;NA;32,1;36,4;77,7;NA;NA;81,3;-8,03;"PARTIAL";"Backwardation";"20260421 07:32";6;FALSE;TRUE;FALSE;""
"NTR";"Agricultural";"MOO";71,57;3,29;5;"SKIP";71,71;73,77;66,58;6;"SKIP";71,43;75,26;61,85;4;4;0;0,546;0,839;0,5;"S:4/6 BK:0/4 | S1:- S2:+ S3:- S4:+ S5:+ S6:+ | BK1:- BK2:- BK3:- BK4:-";20,7;43,8;3,8;-3,9;TRUE;0,83;-2,1;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260506";9;NA;39,8;NA;35,8;45,3;95,9;NA;NA;98,8;-13;"PARTIAL";"Backwardation";"20260420 23:26";6;FALSE;TRUE;FALSE;""
"TSN";"Agricultural";"MOO";64,03;2,14;6;"SKIP";64,16;62,42;68,5;4;"SKIP";63,9;63,68;64,45;5;5;0;0,388;0,812;0,89;"S:5/6 BK:0/4 | S1:+ S2:- S3:+ S4:+ S5:+ S6:+ | BK1:- BK2:- BK3:- BK4:-";14,5;51,1;-5,6;1,6;TRUE;0,85;2,4;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260504";7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;6;FALSE;FALSE;FALSE;""
"IPI";"Agricultural";"MOO";36,91;6,56;4;"SKIP";36,98;38,46;33,31;5;"SKIP";36,84;39,23;30,85;2;2;0;0,787;0,9;0,36;"S:2/6 BK:0/4 | S1:- S2:+ S3:- S4:- S5:- S6:+ | BK1:- BK2:- BK3:- BK4:-";10;44,7;5;-5;FALSE;1;-12,6;"";FALSE;FALSE;"SKIP";NA;NA;NA;NA;"20260506";9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO DATA";"NO DATA";NA;5;FALSE;FALSE;FALSE;""
