"sym";"sector";"rich_pass";"pull_pass";"cheap_pass";"stage";"pull_score";"pull_direction";"sector_rs_rank";"stage_pts";"sector_pts";"footprint_pts";"cheap_score";"cheap_side";"ivp_used";"ivp_2y";"vrp";"vehicle";"strike";"expiry";"spot_target_low";"spot_target_high";"targets_agreeing";"fib_confirms";"oi_cap_call";"oi_cap_put";"oi_concentration_pct";"chain_state";"crowded_flag";"effective_target";"rr";"entry_floor";"entry_ceiling";"headroom_band";"entry_state";"rank";"phase_of_drop";"sector_cluster";"schema_version"
"IBB";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"up";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"KHC";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"neutral";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"KO";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"up";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"KR";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"neutral";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"LULU";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"neutral";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"MDLZ";"Consumer non cyclical";TRUE;TRUE;FALSE;"early";8;"up";5;4;2;2;0;"neutral";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"C";FALSE;5
"MO";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";5;"up";5;0;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"NVO";"Consumer non cyclical";TRUE;FALSE;FALSE;"extended";5;"up";5;1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"OR";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"neutral";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"PEP";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"neutral";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"PG";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"neutral";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"PM";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";4;"up";5;0;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"SYY";"Consumer non cyclical";TRUE;FALSE;FALSE;"none";2;"neutral";5;0;2;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"B";FALSE;5
"TGT";"Consumer non cyclical";TRUE;TRUE;FALSE;"continuation";7;"up";5;3;2;2;2;"neutral";67,7;NA;56,95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"SKIP";"C";FALSE;5
